nome_do_teste,descricao,resultado,decisao_tomada
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: Nenhum (Inconclusivo) | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro B,Análise de lucro entre variantes,Winner: Grupo 1 | P-val: 0.0000,Escalar Grupo 1
AB_Test_Parceiro C,Análise de lucro entre variantes,Winner: None | P-val: 1.0000,Manter busca por novas variantes
AB_Test_Parceiro C,Análise de lucro entre variantes,Winner: None | P-val: 1.0000,Manter busca por novas variantes
AB_Test_Parceiro C,Análise de lucro entre variantes,Winner: Grupo 1 | P-val: 0.0000,Escalar Grupo 1
AB_Test_Parceiro C,Análise de lucro entre variantes,Winner: Grupo 1 | P-val: 0.0000,Escalar Grupo 1
AB_Test_Parceiro C,Análise de lucro entre variantes,Winner: Grupo 1 | P-val: 0.0000,Escalar Grupo 1
AB_Test_Parceiro B,Análise de lucro entre variantes,Winner: Grupo 1 | P-val: 0.0000,Escalar Grupo 1
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.5628,Manter busca por novas variantes
AB_Test_Parceiro A,Análise de lucro entre variantes,Winner: None | P-val: 0.1315,Manter busca por novas variantes
